settlement_date,settlement_period,fuel_type,source,generation_mw
2026-06-06,1,WIND,elexon,5699
2026-06-06,1,WIND,neso,5800.0
2026-06-06,2,WIND,elexon,5746
2026-06-06,2,WIND,neso,5896.0
2026-06-06,3,WIND,elexon,5800
2026-06-06,3,WIND,neso,5946.0
2026-06-06,4,WIND,elexon,5896
2026-06-06,4,WIND,neso,6145.0
2026-06-06,5,WIND,elexon,5946
2026-06-06,5,WIND,neso,6638.0
2026-06-06,6,WIND,elexon,6145
2026-06-06,6,WIND,neso,7301.0
2026-06-06,7,WIND,elexon,6638
2026-06-06,7,WIND,neso,8009.0
2026-06-06,8,WIND,elexon,7301
2026-06-06,8,WIND,neso,8274.0
2026-06-06,9,WIND,elexon,8009
2026-06-06,9,WIND,neso,9247.0
2026-06-06,10,WIND,elexon,8274
2026-06-06,10,WIND,neso,8973.0
2026-06-06,11,WIND,elexon,9247
2026-06-06,11,WIND,neso,8990.0
2026-06-06,12,WIND,elexon,8973
2026-06-06,12,WIND,neso,9921.0
2026-06-06,13,WIND,elexon,8990
2026-06-06,13,WIND,neso,10528.0
2026-06-06,14,WIND,elexon,9921
2026-06-06,14,WIND,neso,10950.0
2026-06-06,15,WIND,elexon,10528
2026-06-06,15,WIND,neso,10930.0
2026-06-06,16,WIND,elexon,10950
2026-06-06,16,WIND,neso,11340.0
2026-06-06,17,WIND,elexon,10930
2026-06-06,17,WIND,neso,11511.0
2026-06-06,18,WIND,elexon,11340
2026-06-06,18,WIND,neso,12076.0
2026-06-06,19,WIND,elexon,11511
2026-06-06,19,WIND,neso,11834.0
2026-06-06,20,WIND,elexon,12076
2026-06-06,20,WIND,neso,12129.0
2026-06-06,21,WIND,elexon,11834
2026-06-06,21,WIND,neso,11688.0
2026-06-06,22,WIND,elexon,12129
2026-06-06,22,WIND,neso,11261.0
2026-06-06,23,WIND,elexon,11688
2026-06-06,23,WIND,neso,10887.0
2026-06-06,24,WIND,elexon,11261
2026-06-06,24,WIND,neso,10442.0
2026-06-06,25,WIND,elexon,10887
2026-06-06,25,WIND,neso,10584.0
2026-06-06,26,WIND,elexon,10442
2026-06-06,26,WIND,neso,10353.0
2026-06-06,27,WIND,elexon,10584
2026-06-06,27,WIND,neso,10426.0
2026-06-06,28,WIND,elexon,10353
2026-06-06,28,WIND,neso,10380.0
2026-06-06,29,WIND,elexon,10426
2026-06-06,29,WIND,neso,9602.0
2026-06-06,30,WIND,elexon,10380
2026-06-06,30,WIND,neso,9133.0
2026-06-06,31,WIND,elexon,9602
2026-06-06,31,WIND,neso,8843.0
2026-06-06,32,WIND,elexon,9133
2026-06-06,32,WIND,neso,8909.0
2026-06-06,33,WIND,elexon,8843
2026-06-06,33,WIND,neso,9040.0
2026-06-06,34,WIND,elexon,8909
2026-06-06,34,WIND,neso,9004.0
2026-06-06,35,WIND,elexon,9040
2026-06-06,35,WIND,neso,9087.0
2026-06-06,36,WIND,elexon,9004
2026-06-06,36,WIND,neso,8975.0
2026-06-06,37,WIND,elexon,9087
2026-06-06,37,WIND,neso,8649.0
2026-06-06,38,WIND,elexon,8975
2026-06-06,38,WIND,neso,8158.0
2026-06-06,39,WIND,elexon,8649
2026-06-06,39,WIND,neso,7831.0
2026-06-06,40,WIND,elexon,8158
2026-06-06,40,WIND,neso,7762.0
2026-06-06,41,WIND,elexon,7831
2026-06-06,41,WIND,neso,7564.0
2026-06-06,42,WIND,elexon,7762
2026-06-06,42,WIND,neso,7506.0
2026-06-06,43,WIND,elexon,7564
2026-06-06,43,WIND,neso,7600.0
2026-06-06,44,WIND,elexon,7506
2026-06-06,44,WIND,neso,7928.0
2026-06-06,45,WIND,elexon,7600
2026-06-06,45,WIND,neso,8396.0
2026-06-06,46,WIND,elexon,7928
2026-06-06,46,WIND,neso,8416.0
2026-06-06,47,WIND,elexon,8396
2026-06-06,47,WIND,neso,8760.0
2026-06-06,48,WIND,elexon,8416
2026-06-06,48,WIND,neso,9424.0
2026-06-07,1,WIND,elexon,8760
2026-06-07,1,WIND,neso,9508.0
2026-06-07,2,WIND,elexon,9424
2026-06-07,2,WIND,neso,9442.0
2026-06-07,3,WIND,elexon,9508
2026-06-07,3,WIND,neso,9678.0
2026-06-07,4,WIND,elexon,9442
2026-06-07,4,WIND,neso,9878.0
2026-06-07,5,WIND,elexon,9678
2026-06-07,5,WIND,neso,10121.0
2026-06-07,6,WIND,elexon,9878
2026-06-07,6,WIND,neso,10523.0
2026-06-07,7,WIND,elexon,10121
2026-06-07,7,WIND,neso,10902.0
2026-06-07,8,WIND,elexon,10523
2026-06-07,8,WIND,neso,10986.0
2026-06-07,9,WIND,elexon,10902
2026-06-07,9,WIND,neso,10705.0
2026-06-07,10,WIND,elexon,10986
2026-06-07,10,WIND,neso,10418.0
2026-06-07,11,WIND,elexon,10705
2026-06-07,11,WIND,neso,10825.0
2026-06-07,12,WIND,elexon,10418
2026-06-07,12,WIND,neso,11046.0
2026-06-07,13,WIND,elexon,10825
2026-06-07,13,WIND,neso,10954.0
2026-06-07,14,WIND,elexon,11046
2026-06-07,14,WIND,neso,10911.0
2026-06-07,15,WIND,elexon,10954
2026-06-07,15,WIND,neso,11076.0
2026-06-07,16,WIND,elexon,10911
2026-06-07,16,WIND,neso,11264.0
2026-06-07,17,WIND,elexon,11076
2026-06-07,17,WIND,neso,11386.0
2026-06-07,18,WIND,elexon,11264
2026-06-07,18,WIND,neso,11912.0
2026-06-07,19,WIND,elexon,11386
2026-06-07,19,WIND,neso,11751.0
2026-06-07,20,WIND,elexon,11912
2026-06-07,20,WIND,neso,11912.0
2026-06-07,21,WIND,elexon,11751
2026-06-07,21,WIND,neso,11835.0
2026-06-07,22,WIND,elexon,11912
2026-06-07,22,WIND,neso,11940.0
2026-06-07,23,WIND,elexon,11835
2026-06-07,23,WIND,neso,11861.0
2026-06-07,24,WIND,elexon,11940
2026-06-07,24,WIND,neso,11947.0
2026-06-07,25,WIND,elexon,11861
2026-06-07,25,WIND,neso,12155.0
2026-06-07,26,WIND,elexon,11947
2026-06-07,26,WIND,neso,12424.0
2026-06-07,27,WIND,elexon,12155
2026-06-07,27,WIND,neso,12150.0
2026-06-07,28,WIND,elexon,12424
2026-06-07,28,WIND,neso,11971.0
2026-06-07,29,WIND,elexon,12150
2026-06-07,29,WIND,neso,12312.0
2026-06-07,30,WIND,elexon,11971
2026-06-07,30,WIND,neso,12553.0
2026-06-07,31,WIND,elexon,12312
2026-06-07,31,WIND,neso,11907.0
2026-06-07,32,WIND,elexon,12553
2026-06-07,32,WIND,neso,11535.0
2026-06-07,33,WIND,elexon,11907
2026-06-07,33,WIND,neso,10307.0
2026-06-07,34,WIND,elexon,11535
2026-06-07,34,WIND,neso,10086.0
2026-06-07,35,WIND,elexon,10307
2026-06-07,35,WIND,neso,10003.0
2026-06-07,36,WIND,elexon,10086
2026-06-07,36,WIND,neso,9827.0
2026-06-07,37,WIND,elexon,10003
2026-06-07,37,WIND,neso,9465.0
2026-06-07,38,WIND,elexon,9827
2026-06-07,38,WIND,neso,8837.0
2026-06-07,39,WIND,elexon,9465
2026-06-07,39,WIND,neso,9043.0
2026-06-07,40,WIND,elexon,8837
2026-06-07,40,WIND,neso,9023.0
2026-06-07,41,WIND,elexon,9043
2026-06-07,41,WIND,neso,8961.0
2026-06-07,42,WIND,elexon,9023
2026-06-07,42,WIND,neso,8627.0
2026-06-07,43,WIND,elexon,8961
2026-06-07,43,WIND,neso,8660.0
2026-06-07,44,WIND,elexon,8627
2026-06-07,44,WIND,neso,9075.0
2026-06-07,45,WIND,elexon,8660
2026-06-07,45,WIND,neso,8959.0
2026-06-07,46,WIND,elexon,9075
2026-06-07,46,WIND,neso,8568.0
2026-06-07,47,WIND,elexon,8959
2026-06-07,47,WIND,neso,8143.0
2026-06-07,48,WIND,elexon,8568
2026-06-07,48,WIND,neso,7785.0
2026-06-08,1,WIND,elexon,8143
2026-06-08,1,WIND,neso,7902.0
2026-06-08,2,WIND,elexon,7785
2026-06-08,2,WIND,neso,7746.0
2026-06-08,3,WIND,elexon,7902
2026-06-08,3,WIND,neso,7264.0
2026-06-08,4,WIND,elexon,7746
2026-06-08,4,WIND,neso,6553.0
2026-06-08,5,WIND,elexon,7264
2026-06-08,5,WIND,neso,6211.0
2026-06-08,6,WIND,elexon,6553
2026-06-08,6,WIND,neso,6402.0
2026-06-08,7,WIND,elexon,6211
2026-06-08,7,WIND,neso,6477.0
2026-06-08,8,WIND,elexon,6402
2026-06-08,8,WIND,neso,6720.0
2026-06-08,9,WIND,elexon,6477
2026-06-08,9,WIND,neso,6764.0
2026-06-08,10,WIND,elexon,6720
2026-06-08,10,WIND,neso,6829.0
2026-06-08,11,WIND,elexon,6764
2026-06-08,11,WIND,neso,7291.0
2026-06-08,12,WIND,elexon,6829
2026-06-08,12,WIND,neso,7470.0
2026-06-08,13,WIND,elexon,7291
2026-06-08,13,WIND,neso,7685.0
2026-06-08,14,WIND,elexon,7470
2026-06-08,14,WIND,neso,7962.0
2026-06-08,15,WIND,elexon,7685
2026-06-08,15,WIND,neso,7838.0
2026-06-08,16,WIND,elexon,7962
2026-06-08,16,WIND,neso,7816.0
2026-06-08,17,WIND,elexon,7838
2026-06-08,17,WIND,neso,7633.0
2026-06-08,18,WIND,elexon,7816
2026-06-08,18,WIND,neso,7225.0
2026-06-08,19,WIND,elexon,7633
2026-06-08,19,WIND,neso,6814.0
2026-06-08,20,WIND,elexon,7225
2026-06-08,20,WIND,neso,6495.0
2026-06-08,21,WIND,elexon,6814
2026-06-08,21,WIND,neso,6679.0
2026-06-08,22,WIND,elexon,6495
2026-06-08,22,WIND,neso,6636.0
2026-06-08,23,WIND,elexon,6679
2026-06-08,23,WIND,neso,6431.0
2026-06-08,24,WIND,elexon,6636
2026-06-08,24,WIND,neso,6340.0
2026-06-08,25,WIND,elexon,6431
2026-06-08,25,WIND,neso,6428.0
2026-06-08,26,WIND,elexon,6340
2026-06-08,26,WIND,neso,6699.0
2026-06-08,27,WIND,elexon,6428
2026-06-08,27,WIND,neso,6303.0
2026-06-08,28,WIND,elexon,6699
2026-06-08,28,WIND,neso,5915.0
2026-06-08,29,WIND,elexon,6303
2026-06-08,29,WIND,neso,5512.0
2026-06-08,30,WIND,elexon,5915
2026-06-08,30,WIND,neso,5618.0
2026-06-08,31,WIND,elexon,5512
2026-06-08,31,WIND,neso,5797.0
2026-06-08,32,WIND,elexon,5618
2026-06-08,32,WIND,neso,5862.0
2026-06-08,33,WIND,elexon,5797
2026-06-08,33,WIND,neso,6204.0
2026-06-08,34,WIND,elexon,5862
2026-06-08,34,WIND,neso,6340.0
2026-06-08,35,WIND,elexon,6204
2026-06-08,35,WIND,neso,5670.0
2026-06-08,36,WIND,elexon,6340
2026-06-08,36,WIND,neso,5504.0
2026-06-08,37,WIND,elexon,5670
2026-06-08,37,WIND,neso,5391.0
2026-06-08,38,WIND,elexon,5504
2026-06-08,38,WIND,neso,5515.0
2026-06-08,39,WIND,elexon,5391
2026-06-08,39,WIND,neso,5492.0
2026-06-08,40,WIND,elexon,5515
2026-06-08,40,WIND,neso,5419.0
2026-06-08,41,WIND,elexon,5492
2026-06-08,41,WIND,neso,5754.0
2026-06-08,42,WIND,elexon,5419
2026-06-08,42,WIND,neso,6154.0
2026-06-08,43,WIND,elexon,5754
2026-06-08,43,WIND,neso,6056.0
2026-06-08,44,WIND,elexon,6154
2026-06-08,44,WIND,neso,5935.0
2026-06-08,45,WIND,elexon,6056
2026-06-08,45,WIND,neso,5874.0
2026-06-08,46,WIND,elexon,5935
2026-06-08,46,WIND,neso,5614.0
2026-06-08,47,WIND,elexon,5874
2026-06-08,47,WIND,neso,5892.0
2026-06-08,48,WIND,elexon,5614
2026-06-08,48,WIND,neso,6240.0
2026-06-09,1,WIND,elexon,5892
2026-06-09,1,WIND,neso,6225.0
2026-06-09,2,WIND,elexon,6240
2026-06-09,2,WIND,neso,6175.0
2026-06-09,3,WIND,elexon,6225
2026-06-09,3,WIND,neso,6232.0
2026-06-09,4,WIND,elexon,6175
2026-06-09,4,WIND,neso,6108.0
2026-06-09,5,WIND,elexon,6232
2026-06-09,5,WIND,neso,6149.0
2026-06-09,6,WIND,elexon,6108
2026-06-09,6,WIND,neso,6147.0
2026-06-09,7,WIND,elexon,6149
2026-06-09,7,WIND,neso,5767.0
2026-06-09,8,WIND,elexon,6147
2026-06-09,8,WIND,neso,6241.0
2026-06-09,9,WIND,elexon,5767
2026-06-09,9,WIND,neso,6691.0
2026-06-09,10,WIND,elexon,6241
2026-06-09,10,WIND,neso,6918.0
2026-06-09,11,WIND,elexon,6691
2026-06-09,11,WIND,neso,6942.0
2026-06-09,12,WIND,elexon,6918
2026-06-09,12,WIND,neso,6878.0
2026-06-09,13,WIND,elexon,6942
2026-06-09,13,WIND,neso,7051.0
2026-06-09,14,WIND,elexon,6878
2026-06-09,14,WIND,neso,7204.0
2026-06-09,15,WIND,elexon,7051
2026-06-09,15,WIND,neso,7465.0
2026-06-09,16,WIND,elexon,7204
2026-06-09,16,WIND,neso,7759.0
2026-06-09,17,WIND,elexon,7465
2026-06-09,17,WIND,neso,8133.0
2026-06-09,18,WIND,elexon,7759
2026-06-09,18,WIND,neso,8642.0
2026-06-09,19,WIND,elexon,8133
2026-06-09,19,WIND,neso,8611.0
2026-06-09,20,WIND,elexon,8642
2026-06-09,20,WIND,neso,8216.0
2026-06-09,21,WIND,elexon,8611
2026-06-09,21,WIND,neso,7790.0
2026-06-09,22,WIND,elexon,8216
2026-06-09,22,WIND,neso,7058.0
2026-06-09,23,WIND,elexon,7790
2026-06-09,23,WIND,neso,6833.0
2026-06-09,24,WIND,elexon,7058
2026-06-09,24,WIND,neso,7214.0
2026-06-09,25,WIND,elexon,6833
2026-06-09,25,WIND,neso,7149.0
2026-06-09,26,WIND,elexon,7214
2026-06-09,26,WIND,neso,6721.0
2026-06-09,27,WIND,elexon,7149
2026-06-09,27,WIND,neso,6571.0
2026-06-09,28,WIND,elexon,6721
2026-06-09,28,WIND,neso,6315.0
2026-06-09,29,WIND,elexon,6571
2026-06-09,29,WIND,neso,6307.0
2026-06-09,30,WIND,elexon,6315
2026-06-09,30,WIND,neso,7101.0
2026-06-09,31,WIND,elexon,6307
2026-06-09,31,WIND,neso,7575.0
2026-06-09,32,WIND,elexon,7101
2026-06-09,32,WIND,neso,7702.0
2026-06-09,33,WIND,elexon,7575
2026-06-09,33,WIND,neso,7707.0
2026-06-09,34,WIND,elexon,7702
2026-06-09,34,WIND,neso,8210.0
2026-06-09,35,WIND,elexon,7707
2026-06-09,35,WIND,neso,8751.0
2026-06-09,36,WIND,elexon,8210
2026-06-09,36,WIND,neso,9014.0
2026-06-09,37,WIND,elexon,8751
2026-06-09,37,WIND,neso,8213.0
2026-06-09,38,WIND,elexon,9014
2026-06-09,38,WIND,neso,7450.0
2026-06-09,39,WIND,elexon,8213
2026-06-09,39,WIND,neso,6662.0
2026-06-09,40,WIND,elexon,7450
2026-06-09,40,WIND,neso,6290.0
2026-06-09,41,WIND,elexon,6662
2026-06-09,41,WIND,neso,6429.0
2026-06-09,42,WIND,elexon,6290
2026-06-09,42,WIND,neso,6230.0
2026-06-09,43,WIND,elexon,6429
2026-06-09,43,WIND,neso,6508.0
2026-06-09,44,WIND,elexon,6230
2026-06-09,44,WIND,neso,6649.0
2026-06-09,45,WIND,elexon,6508
2026-06-09,45,WIND,neso,7142.0
2026-06-09,46,WIND,elexon,6649
2026-06-09,46,WIND,neso,7434.0
2026-06-09,47,WIND,elexon,7142
2026-06-09,47,WIND,neso,7697.0
2026-06-09,48,WIND,elexon,7434
2026-06-09,48,WIND,neso,8024.0
2026-06-10,1,WIND,elexon,7697
2026-06-10,1,WIND,neso,7899.0
2026-06-10,2,WIND,elexon,8024
2026-06-10,2,WIND,neso,7725.0
2026-06-10,3,WIND,elexon,7899
2026-06-10,3,WIND,neso,7904.0
2026-06-10,4,WIND,elexon,7725
2026-06-10,4,WIND,neso,7757.0
2026-06-10,5,WIND,elexon,7904
2026-06-10,5,WIND,neso,7100.0
2026-06-10,6,WIND,elexon,7757
2026-06-10,6,WIND,neso,6547.0
2026-06-10,7,WIND,elexon,7100
2026-06-10,7,WIND,neso,6534.0
2026-06-10,8,WIND,elexon,6547
2026-06-10,8,WIND,neso,6822.0
2026-06-10,9,WIND,elexon,6534
2026-06-10,9,WIND,neso,6238.0
2026-06-10,10,WIND,elexon,6822
2026-06-10,10,WIND,neso,5425.0
2026-06-10,11,WIND,elexon,6238
2026-06-10,11,WIND,neso,4859.0
2026-06-10,12,WIND,elexon,5425
2026-06-10,12,WIND,neso,4535.0
2026-06-10,13,WIND,elexon,4859
2026-06-10,13,WIND,neso,4332.0
2026-06-10,14,WIND,elexon,4535
2026-06-10,14,WIND,neso,4130.0
2026-06-10,15,WIND,elexon,4332
2026-06-10,15,WIND,neso,4138.0
2026-06-10,16,WIND,elexon,4130
2026-06-10,16,WIND,neso,3758.0
2026-06-10,17,WIND,elexon,4138
2026-06-10,17,WIND,neso,3825.0
2026-06-10,18,WIND,elexon,3758
2026-06-10,18,WIND,neso,3877.0
2026-06-10,19,WIND,elexon,3825
2026-06-10,19,WIND,neso,4030.0
2026-06-10,20,WIND,elexon,3877
2026-06-10,20,WIND,neso,4340.0
2026-06-10,21,WIND,elexon,4030
2026-06-10,21,WIND,neso,4407.0
2026-06-10,22,WIND,elexon,4340
2026-06-10,22,WIND,neso,4587.0
2026-06-10,23,WIND,elexon,4407
2026-06-10,23,WIND,neso,4408.0
2026-06-10,24,WIND,elexon,4587
2026-06-10,24,WIND,neso,4506.0
2026-06-10,25,WIND,elexon,4408
2026-06-10,25,WIND,neso,4650.0
2026-06-10,26,WIND,elexon,4506
2026-06-10,26,WIND,neso,4942.0
2026-06-10,27,WIND,elexon,4650
2026-06-10,27,WIND,neso,4913.0
2026-06-10,28,WIND,elexon,4942
2026-06-10,28,WIND,neso,5261.0
2026-06-10,29,WIND,elexon,4913
2026-06-10,29,WIND,neso,4925.0
2026-06-10,30,WIND,elexon,5261
2026-06-10,30,WIND,neso,4823.0
2026-06-10,31,WIND,elexon,4925
2026-06-10,31,WIND,neso,4774.0
2026-06-10,32,WIND,elexon,4823
2026-06-10,32,WIND,neso,4788.0
2026-06-10,33,WIND,elexon,4774
2026-06-10,33,WIND,neso,4794.0
2026-06-10,34,WIND,elexon,4788
2026-06-10,34,WIND,neso,5220.0
2026-06-10,35,WIND,elexon,4794
2026-06-10,35,WIND,neso,5432.0
2026-06-10,36,WIND,elexon,5220
2026-06-10,36,WIND,neso,5234.0
2026-06-10,37,WIND,elexon,5432
2026-06-10,37,WIND,neso,5227.0
2026-06-10,38,WIND,elexon,5234
2026-06-10,38,WIND,neso,4826.0
2026-06-10,39,WIND,elexon,5227
2026-06-10,39,WIND,neso,4656.0
2026-06-10,40,WIND,elexon,4826
2026-06-10,40,WIND,neso,4596.0
2026-06-10,41,WIND,elexon,4656
2026-06-10,41,WIND,neso,4336.0
2026-06-10,42,WIND,elexon,4596
2026-06-10,42,WIND,neso,4258.0
2026-06-10,43,WIND,elexon,4336
2026-06-10,43,WIND,neso,4304.0
2026-06-10,44,WIND,elexon,4258
2026-06-10,44,WIND,neso,4542.0
2026-06-10,45,WIND,elexon,4304
2026-06-10,45,WIND,neso,4642.0
2026-06-10,46,WIND,elexon,4542
2026-06-10,46,WIND,neso,4763.0
2026-06-10,47,WIND,elexon,4642
2026-06-10,47,WIND,neso,4800.0
2026-06-10,48,WIND,elexon,4763
2026-06-10,48,WIND,neso,4898.0
2026-06-11,1,WIND,elexon,4800
2026-06-11,1,WIND,neso,4821.0
2026-06-11,2,WIND,elexon,4898
2026-06-11,2,WIND,neso,4852.0
2026-06-11,3,WIND,elexon,4821
2026-06-11,3,WIND,neso,4740.0
2026-06-11,4,WIND,elexon,4852
2026-06-11,4,WIND,neso,4424.0
2026-06-11,5,WIND,elexon,4740
2026-06-11,5,WIND,neso,4440.0
2026-06-11,6,WIND,elexon,4424
2026-06-11,6,WIND,neso,4834.0
2026-06-11,7,WIND,elexon,4440
2026-06-11,7,WIND,neso,5102.0
2026-06-11,8,WIND,elexon,4834
2026-06-11,8,WIND,neso,5177.0
2026-06-11,9,WIND,elexon,5102
2026-06-11,9,WIND,neso,5182.0
2026-06-11,10,WIND,elexon,5177
2026-06-11,10,WIND,neso,4605.0
2026-06-11,11,WIND,elexon,5182
2026-06-11,11,WIND,neso,4188.0
2026-06-11,12,WIND,elexon,4605
2026-06-11,12,WIND,neso,3943.0
2026-06-11,13,WIND,elexon,4188
2026-06-11,13,WIND,neso,4270.0
2026-06-11,14,WIND,elexon,3943
2026-06-11,14,WIND,neso,4805.0
2026-06-11,15,WIND,elexon,4270
2026-06-11,15,WIND,neso,5521.0
2026-06-11,16,WIND,elexon,4805
2026-06-11,16,WIND,neso,6124.0
2026-06-11,17,WIND,elexon,5521
2026-06-11,17,WIND,neso,6412.0
2026-06-11,18,WIND,elexon,6124
2026-06-11,18,WIND,neso,6550.0
2026-06-11,19,WIND,elexon,6412
2026-06-11,19,WIND,neso,7144.0
2026-06-11,20,WIND,elexon,6550
2026-06-11,20,WIND,neso,7956.0
2026-06-11,21,WIND,elexon,7144
2026-06-11,21,WIND,neso,8989.0
2026-06-11,22,WIND,elexon,7956
2026-06-11,22,WIND,neso,9590.0
2026-06-11,23,WIND,elexon,8989
2026-06-11,23,WIND,neso,10516.0
2026-06-11,24,WIND,elexon,9590
2026-06-11,24,WIND,neso,9955.0
2026-06-11,25,WIND,elexon,10516
2026-06-11,25,WIND,neso,9990.0
2026-06-11,26,WIND,elexon,9955
2026-06-11,26,WIND,neso,10684.0
2026-06-11,27,WIND,elexon,9990
2026-06-11,27,WIND,neso,11202.0
2026-06-11,28,WIND,elexon,10684
2026-06-11,28,WIND,neso,11300.0
2026-06-11,29,WIND,elexon,11202
2026-06-11,29,WIND,neso,11665.0
2026-06-11,30,WIND,elexon,11300
2026-06-11,30,WIND,neso,12098.0
2026-06-11,31,WIND,elexon,11665
2026-06-11,31,WIND,neso,12518.0
2026-06-11,32,WIND,elexon,12098
2026-06-11,32,WIND,neso,12872.0
2026-06-11,33,WIND,elexon,12518
2026-06-11,33,WIND,neso,13185.0
2026-06-11,34,WIND,elexon,12872
2026-06-11,34,WIND,neso,12994.0
2026-06-11,35,WIND,elexon,13185
2026-06-11,35,WIND,neso,12539.0
2026-06-11,36,WIND,elexon,12994
2026-06-11,36,WIND,neso,12414.0
2026-06-11,37,WIND,elexon,12539
2026-06-11,37,WIND,neso,12061.0
2026-06-11,38,WIND,elexon,12414
2026-06-11,38,WIND,neso,11732.0
2026-06-11,39,WIND,elexon,12061
2026-06-11,39,WIND,neso,11479.0
2026-06-11,40,WIND,elexon,11732
2026-06-11,40,WIND,neso,11014.0
2026-06-11,41,WIND,elexon,11479
2026-06-11,41,WIND,neso,11113.0
2026-06-11,42,WIND,elexon,11014
2026-06-11,42,WIND,neso,11527.0
2026-06-11,43,WIND,elexon,11113
2026-06-11,43,WIND,neso,12245.0
2026-06-11,44,WIND,elexon,11527
2026-06-11,44,WIND,neso,12973.0
2026-06-11,45,WIND,elexon,12245
2026-06-11,45,WIND,neso,13370.0
2026-06-11,46,WIND,elexon,12973
2026-06-11,46,WIND,neso,12965.0
2026-06-11,47,WIND,elexon,13370
2026-06-11,47,WIND,neso,13029.0
2026-06-11,48,WIND,elexon,12965
