dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,BIOMASS,902
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,CCGT,5567
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,COAL,0
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,INTELEC,610
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,INTEW,-500
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,INTFR,1442
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,INTGRNL,0
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,INTIFA2,-4
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,INTIRL,-352
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,INTNED,-678
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,INTNEM,-756
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,INTNSL,-498
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,INTVKL,-1024
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,NPSHYD,368
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,NUCLEAR,2992
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,OCGT,49
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,OIL,0
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,OTHER,656
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,PS,-494
FUELHH,2026-06-12T23:00:00Z,2026-06-12T22:30:00Z,2026-06-12,48,WIND,12924
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,BIOMASS,901
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,CCGT,5505
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,COAL,0
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,INTELEC,616
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,INTEW,-360
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,INTFR,1444
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,INTGRNL,0
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,INTIFA2,-4
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,INTIRL,-420
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,INTNED,-668
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,INTNEM,-732
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,INTNSL,-420
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,INTVKL,-1010
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,NPSHYD,378
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,NUCLEAR,2988
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,OCGT,50
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,OIL,0
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,OTHER,905
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,PS,-34
FUELHH,2026-06-12T22:30:00Z,2026-06-12T22:00:00Z,2026-06-12,47,WIND,12643
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,BIOMASS,1072
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,CCGT,5837
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,COAL,0
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTELEC,572
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTEW,-208
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTFR,1240
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTGRNL,0
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTIFA2,-4
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTIRL,-448
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTNED,-212
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTNEM,-24
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTNSL,-42
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,INTVKL,-490
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,NPSHYD,405
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,NUCLEAR,2997
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,OCGT,50
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,OIL,0
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,OTHER,664
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,PS,24
FUELHH,2026-06-12T22:00:00Z,2026-06-12T21:30:00Z,2026-06-12,46,WIND,12357
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,BIOMASS,1148
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,CCGT,5936
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,COAL,0
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTELEC,572
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTEW,-58
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTFR,1228
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTGRNL,0
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTIFA2,-4
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTIRL,-394
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTNED,-210
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTNEM,-2
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTNSL,22
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,INTVKL,-454
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,NPSHYD,415
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,NUCLEAR,2993
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,OCGT,50
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,OIL,0
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,OTHER,1053
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,PS,38
FUELHH,2026-06-12T21:30:00Z,2026-06-12T21:00:00Z,2026-06-12,45,WIND,12347
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,BIOMASS,1072
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,CCGT,5667
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,COAL,0
FUELHH,2026-06-12T21:00:00Z,2026-06-12T20:30:00Z,2026-06-12,44,INTELEC,636
