dataset,publishTime,startTime,generation
WINDFOR,2026-09-04T23:30:00Z,2026-09-03T20:00:00Z,12423
WINDFOR,2026-09-04T23:30:00Z,2026-09-03T21:00:00Z,12397
WINDFOR,2026-09-04T23:30:00Z,2026-09-03T22:00:00Z,12372
WINDFOR,2026-09-04T23:30:00Z,2026-09-03T23:00:00Z,13282
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T00:00:00Z,12380
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T01:00:00Z,12455
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T02:00:00Z,11490
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T03:00:00Z,11935
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T04:00:00Z,12808
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T05:00:00Z,13933
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T06:00:00Z,14294
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T07:00:00Z,15484
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T08:00:00Z,18039
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T09:00:00Z,19451
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T10:00:00Z,19898
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T11:00:00Z,20249
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T12:00:00Z,20364
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T13:00:00Z,20300
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T14:00:00Z,20472
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T15:00:00Z,20381
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T16:00:00Z,19348
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T17:00:00Z,19855
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T18:00:00Z,19813
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T19:00:00Z,19638
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T20:00:00Z,19489
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T21:00:00Z,19766
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T22:00:00Z,19581
WINDFOR,2026-09-04T23:30:00Z,2026-09-04T23:00:00Z,19550
WINDFOR,2026-09-04T23:30:00Z,2026-09-05T00:00:00Z,19498
