FORECAST_TIMESTAMP,DAYSAHEAD,CP_END_TIME,CP_TYPE,_full_text,F_Point,CARDINALPOINT,FORECASTDEMAND,CP_ST_TIME,_id,TARGETDATE
2026-06-05T08:43:23,1,130,T,"'-05':12 '-06':3,4,11 '1':1 '100':8 '130':9 '1s':6 '2026':2,10 '20503':5 '23':15 '43':14 't08':13",,1S,20503,100,57103,2026-06-06
2026-06-05T08:43:23,1,230,P,"'-05':12 '-06':3,4,11 '1':1 '1a':6 '200':8 '20210':5 '2026':2,10 '23':15 '230':9 '43':14 'p':7 't08':13",,1A,20210,200,57104,2026-06-06
2026-06-05T08:43:23,1,400,F,"'-05':12 '-06':3,4,11 '1':1 '17998':5 '2026':2,10 '23':15 '4':6 '400':8,9 '43':14 'f':7 't08':13",,4,17998,400,57105,2026-06-06
2026-06-05T08:43:23,1,730,T,"'-05':13 '-06':3,4,12 '1':1 '16692':5 '1b':6 '2026':2,11 '23':16 '43':15 '430':8 '730':9 'om':10 't08':14",Om,1B,16692,430,57106,2026-06-06
2026-06-05T08:43:23,1,800,F,"'-05':12 '-06':3,4,11 '1':1 '20107':5 '2026':2,10 '23':15 '2f':6 '43':14 '800':8,9 'f':7 't08':13",,2F,20107,800,57107,2026-06-06
2026-06-05T08:43:23,1,1200,P,"'-05':13 '-06':3,4,12 '1':1 '1200':9 '2026':2,11 '21655':5 '23':16 '2a':6 '43':15 '830':8 'dm':10 'p':7 't08':14",DM,2A,21655,830,57108,2026-06-06
2026-06-05T08:43:23,1,30,F,"'-05':12 '-06':3,4,11 '1':1 '1f':6 '2026':2,10 '21606':5 '23':15 '30':8,9 '43':14 'f':7 't08':13",,1F,21606,30,57102,2026-06-06
2026-06-05T08:43:23,1,1300,P,"'-05':12 '-06':3,4,11 '1':1 '1230':8 '1300':9 '2026':2,10 '20741':5 '23':15 '2b':6 '43':14 'p':7 't08':13",,2B,20741,1230,57109,2026-06-06
2026-06-05T08:43:23,1,1630,T,"'-05':13 '-06':3,4,12 '1':1 '1330':8 '1630':9 '20082':5 '2026':2,11 '23':16 '3b':6 '43':15 'dm':10 't08':14",Dm,3B,20082,1330,57110,2026-06-06
2026-06-05T08:43:23,1,2030,P,"'-05':13 '-06':3,4,12 '1':1 '1700':8 '2026':2,11 '2030':9 '23':16 '24242':5 '3c':6 '43':15 'em':10 'p':7 't08':14",EM,3C,24242,1700,57111,2026-06-06
2026-06-05T08:43:23,1,2230,P,"'-05':12 '-06':3,4,11 '1':1 '2026':2,10 '2100':8 '2230':9 '23':15 '23331':5 '43':14 '4b':6 'p':7 't08':13",,4B,23331,2100,57112,2026-06-06
2026-06-05T08:43:23,1,2400,F,"'-05':12 '-06':3,4,11 '1':1 '2026':2,10 '20399':5 '23':15 '2400':8,9 '43':14 '4c':6 'f':7 't08':13",,4C,20399,2400,57113,2026-06-06
2026-06-06T08:35:28,1,30,F,"'-06':3,11,12 '-07':4 '1':1 '1f':6 '20003':5 '2026':2,10 '28':15 '30':8,9 '35':14 'f':7 't08':13",,1F,20003,30,57114,2026-06-07
2026-06-06T08:35:28,1,130,T,"'-06':3,11,12 '-07':4 '1':1 '100':8 '130':9 '19108':5 '1s':6 '2026':2,10 '28':15 '35':14 't08':13",,1S,19108,100,57115,2026-06-07
2026-06-06T08:35:28,1,230,P,"'-06':3,11,12 '-07':4 '1':1 '18732':5 '1a':6 '200':8 '2026':2,10 '230':9 '28':15 '35':14 'p':7 't08':13",,1A,18732,200,57116,2026-06-07
2026-06-06T08:35:28,1,400,F,"'-06':3,11,12 '-07':4 '1':1 '17057':5 '2026':2,10 '28':15 '35':14 '4':6 '400':8,9 'f':7 't08':13",,4,17057,400,57117,2026-06-07
2026-06-06T08:35:28,1,730,T,"'-06':3,12,13 '-07':4 '1':1 '15856':5 '1b':6 '2026':2,11 '28':16 '35':15 '430':8 '730':9 'om':10 't08':14",Om,1B,15856,430,57118,2026-06-07
